Muni,Code,County
ABSECON CITY,0101,Atlantic County
ATLANTIC CITY,0102,Atlantic County
BRIGANTINE CITY,0103,Atlantic County
BUENA BORO,0104,Atlantic County
BUENA VISTA TWP.,0105,Atlantic County
CORBIN CITY,0106,Atlantic County
EGG HARBOR CITY,0107,Atlantic County
EGG HARBOR TWP.,0108,Atlantic County
ESTELL MANOR CITY,0109,Atlantic County
FOLSOM BORO,0110,Atlantic County
GALLOWAY TWP.,0111,Atlantic County
HAMILTON TWP.,0112,Atlantic County
HAMMONTON TOWN,0113,Atlantic County
LINWOOD CITY,0114,Atlantic County
Longport Boro,0115,Atlantic County
MARGATE CITY,0116,Atlantic County
MULLICA TWP.,0117,Atlantic County
NORTHFIELD CITY,0118,Atlantic County
PLEASANTVILLE CITY,0119,Atlantic County
PORT REPUBLIC CITY,0120,Atlantic County
SOMERS POINT CITY,0121,Atlantic County
Ventnor City,0122,Atlantic County
WEYMOUTH TWP.,0123,Atlantic County
ALLENDALE BORO,0201,Bergen County
ALPINE BORO,0202,Bergen County
BERGENFIELD BORO,0203,Bergen County
BOGOTA BORO,0204,Bergen County
CARLSTADT BORO,0205,Bergen County
CLIFFSIDE PARK BORO,0206,Bergen County
CLOSTER BORO,0207,Bergen County
CRESSKILL BORO,0208,Bergen County
DEMAREST BORO,0209,Bergen County
DUMONT BORO,0210,Bergen County
ELMWOOD PARK BORO,0211,Bergen County
EAST RUTHERFORD BORO,0212,Bergen County
EDGEWATER BORO,0213,Bergen County
EMERSON BORO,0214,Bergen County
ENGLEWOOD CITY,0215,Bergen County
ENGLEWOOD CLIFFS BORO,0216,Bergen County
FAIR LAWN BORO,0217,Bergen County
FAIRVIEW BORO,0218,Bergen County
FORT LEE BORO,0219,Bergen County
FRANKLIN LAKES BORO,0220,Bergen County
GARFIELD CITY,0221,Bergen County
GLEN ROCK BORO,0222,Bergen County
HACKENSACK CITY,0223,Bergen County
HARRINGTON PARK BORO,0224,Bergen County
HASBROUCK HEIGHTS BORO,0225,Bergen County
HAWORTH BORO,0226,Bergen County
HILLSDALE BORO,0227,Bergen County
HOHOKUS BORO,0228,Bergen County
LEONIA BORO,0229,Bergen County
LITTLE FERRY BORO,0230,Bergen County
LODI BORO,0231,Bergen County
LYNDHURST TWP.,0232,Bergen County
MAHWAH TWP.,0233,Bergen County
MAYWOOD BORO,0234,Bergen County
MIDLAND PARK BORO,0235,Bergen County
MONTVALE BORO,0236,Bergen County
MOONACHIE BORO,0237,Bergen County
NEW MILFORD BORO,0238,Bergen County
NORTH ARLINGTON BORO,0239,Bergen County
NORTHVALE BORO,0240,Bergen County
NORWOOD BORO,0241,Bergen County
OAKLAND BORO,0242,Bergen County
OLD TAPPAN BORO,0243,Bergen County
ORADELL BORO,0244,Bergen County
PALISADES PARK BORO,0245,Bergen County
PARAMUS BORO,0246,Bergen County
PARK RIDGE BORO,0247,Bergen County
RAMSEY BORO,0248,Bergen County
RIDGEFIELD BORO,0249,Bergen County
RIDGEFIELD PARK VILLAGE,0250,Bergen County
RIDGEWOOD VILLAGE,0251,Bergen County
RIVER EDGE BORO,0252,Bergen County
RIVER VALE TWP.,0253,Bergen County
ROCHELLE PARK TWP.,0254,Bergen County
ROCKLEIGH BORO,0255,Bergen County
RUTHERFORD BORO,0256,Bergen County
SADDLE BROOK TWP.,0257,Bergen County
SADDLE RIVER BORO,0258,Bergen County
SOUTH HACKENSACK TWP.,0259,Bergen County
TEANECK TWP.,0260,Bergen County
TENAFLY BORO,0261,Bergen County
TETERBORO BORO,0262,Bergen County
UPPER SADDLE RIVER BORO,0263,Bergen County
WALDWICK BORO,0264,Bergen County
WALLINGTON BORO,0265,Bergen County
WASHINGTON TWP.,0266,Bergen County
WESTWOOD BORO,0267,Bergen County
WOODCLIFF LAKE BORO,0268,Bergen County
WOOD-RIDGE BORO,0269,Bergen County
WYCKOFF TWP.,0270,Bergen County
BASS RIVER TWP.,0301,Burlington County
BEVERLY CITY,0302,Burlington County
BORDENTOWN CITY,0303,Burlington County
BORDENTOWN TWP.,0304,Burlington County
BURLINGTON CITY,0305,Burlington County
BURLINGTON TWP.,0306,Burlington County
CHESTERFIELD TWP.,0307,Burlington County
CINNAMINSON TWP.,0308,Burlington County
DELANCO TWP.,0309,Burlington County
DELRAN TWP.,0310,Burlington County
EASTAMPTON TWP.,0311,Burlington County
EDGEWATER PARK TWP.,0312,Burlington County
EVESHAM TWP.,0313,Burlington County
FIELDSBORO BORO,0314,Burlington County
FLORENCE TWP.,0315,Burlington County
HAINESPORT TWP,0316,Burlington County
LUMBERTON TWP.,0317,Burlington County
MANSFIELD TWP.,0318,Burlington County
MAPLE SHADE TWP.,0319,Burlington County
MEDFORD TWP.,0320,Burlington County
MEDFORD LAKES BORO,0321,Burlington County
MOORESTOWN TWP.,0322,Burlington County
MOUNT HOLLY TWP.,0323,Burlington County
MOUNT LAUREL TWP.,0324,Burlington County
NEW HANOVER TWP.,0325,Burlington County
NORTH HANOVER TWP.,0326,Burlington County
PALMYRA BORO,0327,Burlington County
PEMBERTON BORO,0328,Burlington County
PEMBERTON TWP.,0329,Burlington County
RIVERSIDE TWP.,0330,Burlington County
RIVERTON BORO,0331,Burlington County
SHAMONG TWP.,0332,Burlington County
SOUTHAMPTON TWP.,0333,Burlington County
SPRINGFIELD TWP.,0334,Burlington County
TABERNACLE TWP.,0335,Burlington County
WASHINGTON TWP.,0336,Burlington County
WESTAMPTON TWP.,0337,Burlington County
WILLINGBORO TWP.,0338,Burlington County
WOODLAND TWP.,0339,Burlington County
WRIGHTSTOWN BORO,0340,Burlington County
AUDUBON BORO,0401,Camden County
AUDUBON PARK BORO,0402,Camden County
BARRINGTON BORO,0403,Camden County
BELLMAWR BORO,0404,Camden County
BERLIN BORO,0405,Camden County
BERLIN TWP.,0406,Camden County
BROOKLAWN BORO,0407,Camden County
CAMDEN CITY,0408,Camden County
CHERRY HILL TWP.,0409,Camden County
CHESILHURST BORO,0410,Camden County
CLEMENTON BORO,0411,Camden County
COLLINGSWOOD BORO,0412,Camden County
GIBBSBORO BORO,0413,Camden County
GLOUCESTER CITY,0414,Camden County
